id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
1404,2,1,606,3,1560,7,12,1,1,24009,1,19,53,357,357,18,60,46,81,0,0,0,0,0,0,0,0,0,883633118
1405,2,1,606,4,1561,7,9,1,1,20205,1,17,48,1344,1344,18,60,46,81,0,0,0,0,0,0,0,0,0,883633118
1406,0,0,607,1,1562,1,44,1,-1,-1,0,15,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,0,0,607,2,1563,4,42,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,0,0,607,3,1564,1,21,1,-1,-1,0,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,1,1,607,4,1565,6,16,1,1,24076,1,20,42,375,375,15,53,16,69,0,0,0,0,0,0,0,0,0,323619951
1410,0,0,607,1,1562,1,44,1,-1,-1,0,15,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1411,0,0,607,2,1563,4,42,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1412,0,0,607,3,1564,1,21,1,-1,-1,0,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,2,1,607,4,1565,6,16,1,1,24076,1,20,42,375,375,15,53,16,69,0,0,0,0,0,0,0,0,0,324042528
1414,0,0,615,1,1575,1,42,1,-1,-1,0,16,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,1,1,615,2,1576,7,15,1,1,24076,1,17,47,333,211,16,54,0,0,0,0,0,0,0,0,0,0,0,741040866
1416,1,1,615,3,1577,7,11,1,2,22992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741040866
1417,0,0,615,1,1575,1,42,1,-1,-1,0,16,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,2,1,615,2,1576,7,15,1,1,24076,1,17,47,333,211,16,54,0,0,0,0,0,0,0,0,0,0,0,201946883
1419,2,1,615,3,1577,7,11,1,2,22992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201946883
1420,0,0,618,1,1582,1,34,1,-1,-1,0,18,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1421,0,0,618,2,1583,4,34,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1422,1,105,618,3,1584,6,17,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967961905
1423,1,105,618,4,1585,7,15,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967961905
1424,1,105,618,5,1586,7,14,1,1,21051,1,19,49,1410,1360,0,0,18,79,1,2,3,2,1,1582,1,18,79,967961905
1425,1,105,618,6,1587,7,12,1,1,22046,1,19,50,577,577,0,0,18,79,1,2,2,2,1,1582,1,18,79,967961905
1426,1,105,618,7,1588,7,10,1,1,23316,1,19,50,209,205,0,0,18,79,2,1,1,1,2,1583,4,0,0,967961905
