hhid,pnum,pumsSerialNo,persType,persTypeDetailed,age,gender,industry,schlGrade,educLevel,workPlaceType,workPlaceTaz,workPlaceMaz,schoolType,schoolTaz,schoolMaz,dailyActivityPattern,specEvtParticipant,jointTour1Role,jointTour2role,obPeChauffBund1,obPeChauffBund2,obPeChauffBund3,obRsChauffBund,obPePassBund,obRsPassBund,ibPeChauffBund1,ibPeChauffBund2,ibPeChauffBund3,ibRsChauffBund,ibPePassBund,ibRsPassBund,studentDorm,studentRent,activityString
170,1,2.00800075776E12,1,1,47,1,56,0,9,2,477,477,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
170,2,2.00800075776E12,4,13,38,2,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
170,3,2.00800075776E12,2,5,18,1,72,0,9,2,134,23208,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-72-1-9-1-0]"
170,4,2.00800075776E12,6,17,17,2,0,5,7,0,0,0,1,154,21811,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
170,5,2.00800075776E12,6,16,17,2,72,5,7,2,178,23446,2,38,24380,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
171,1,2.010001440768E12,1,1,27,1,31,0,9,2,332,26683,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
171,2,2.010001440768E12,2,4,26,2,44,0,9,2,199,22119,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-8-9-0-5-9-6-6-0-9-6-0-73-0]"
171,3,2.010001440768E12,8,21,0,1,0,0,0,0,0,0,2,38,24438,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-9-6-6-0-9-6-0]"
172,1,2.008001019904E12,4,13,55,2,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
172,2,2.008001019904E12,1,1,45,1,48,0,9,2,100,22658,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
172,3,2.008001019904E12,1,1,33,1,23,0,9,2,467,467,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
173,1,2.009000574976E12,4,13,35,2,0,0,9,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"[0-411-0-411-0-411-8-0-6-7-5-6-0]"
173,2,2.009000574976E12,1,1,31,1,48,0,9,2,36,24313,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"[0-411-72-42-9-0-411-0-9-7-0]"
173,3,2.009000574976E12,7,19,15,2,0,5,4,0,0,0,1,393,22335,1,1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"[0-3-8-0-6-7-5-6-0-9-7-0]"
173,4,2.009000574976E12,7,19,11,2,0,4,3,0,0,0,1,44,25072,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"[0-3-0]"
173,5,2.009000574976E12,7,20,6,1,0,3,2,0,0,0,1,44,25235,1,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,"[0-3-0]"
174,1,2.01100034048E12,2,4,44,2,56,0,9,2,37,24163,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"[0-412-412-9-71-1-0-411-411-72-73-0]"
174,2,2.01100034048E12,1,1,49,1,49,0,12,2,187,23715,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
174,3,2.01100034048E12,7,19,14,1,0,5,4,0,0,0,1,94,23540,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"[0-3-411-72-73-0]"
174,4,2.01100034048E12,7,19,9,1,0,3,2,0,0,0,1,78,24009,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"[0-412-3-72-73-0-72-73-0]"
175,1,2.01100099584E12,2,4,33,2,81,0,9,2,21,23875,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
175,2,2.01100099584E12,2,4,23,1,92,0,9,2,36,24313,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-61-0-8-5-42-0]"
175,3,2.01100099584E12,7,19,15,2,0,5,4,0,0,0,1,123,22046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
175,4,2.01100099584E12,7,19,11,1,0,4,2,0,0,0,1,22,23762,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
175,5,2.01100099584E12,7,19,8,2,0,3,2,0,0,0,1,23,23410,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
177,1,2.01000026112E12,1,1,45,1,56,0,9,1,41,22159,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[0-412-62-15-15-0-15-15-0]"
177,2,2.01000026112E12,1,1,42,2,61,0,11,2,466,466,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
177,3,2.01000026112E12,6,18,16,2,0,5,4,0,0,0,1,123,22046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
177,4,2.01000026112E12,7,19,13,2,0,4,3,0,0,0,1,195,22321,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0-3-0]"
179,1,2.009001099264E12,1,1,41,2,62,0,12,2,467,467,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
180,1,2.010000785408E12,5,15,68,1,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
180,2,2.010000785408E12,5,15,69,2,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-62-0]"
181,1,2.009000574976E12,1,1,37,2,81,0,12,2,466,466,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"[0-411-8-0-411-411-5-0]"
181,2,2.009000574976E12,1,1,35,1,92,0,9,2,1,23769,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
181,3,2.009000574976E12,7,19,15,1,0,5,4,0,0,0,1,123,22046,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"[0-3-5-0]"
181,4,2.009000574976E12,7,19,12,2,0,4,2,0,0,0,1,195,22321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"[0-8-3-411-5-0]"
182,1,2.008000888832E12,1,1,37,1,51,0,13,2,466,466,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
182,2,2.008000888832E12,1,1,27,2,51,0,9,2,193,22267,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
182,3,2.008000888832E12,8,21,3,1,0,0,1,0,0,0,2,41,22225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
182,4,2.008000888832E12,8,21,1,1,0,0,0,0,0,0,2,41,22225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
183,1,2.01100099584E12,2,4,33,2,81,0,9,2,57,24754,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-61-1-9-8-0]"
183,2,2.01100099584E12,2,4,23,1,92,0,9,2,208,22473,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-42-0-6-6-6-6-6-6-0]"
183,3,2.01100099584E12,7,19,15,2,0,5,4,0,0,0,1,57,24802,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0-6-6-6-6-6-6-0]"
183,4,2.01100099584E12,7,19,11,1,0,4,2,0,0,0,1,56,24451,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-3-8-0-6-6-6-6-6-6-0-73-9-0]"
183,5,2.01100099584E12,7,19,8,2,0,3,2,0,0,0,1,109,23712,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-3-0]"
