hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
877,1,2,1,1,1,1,43,24547,385,23268,9,1,37,542.0,54,809,0,0,"[1-9]","[9-1]"
881,1,1,1,1,3,1,380,21878,18,22250,5,1,33,483.0,38,556,0,1,"[1-5]","[5-72-1]"
885,1,1,1,1,1,1,59,24697,174,25163,72,14,33,483.0,33,495,0,0,"[1-72]","[72-1]"
885,2,1,1,1,1,1,99,23345,99,23296,5,14,37,543.0,39,585,0,0,"[1-5]","[5-1]"
889,2,1,1,1,1,1,150,22126,202,22115,72,1,34,504.0,38,562,0,0,"[1-72]","[72-1]"
892,2,2,1,1,4,0,18,22327,18,22250,5,14,47,694.0,48,706,0,0,"[1-5]","[5-1]"
909,2,1,1,1,1,1,100,22658,135,23718,5,1,26,383.0,30,440,0,0,"[1-5]","[5-1]"
910,2,1,1,1,1,1,103,22334,394,22044,61,1,36,537.0,40,595,0,0,"[1-61]","[61-1]"
919,1,1,1,1,1,1,380,21878,18,22250,5,1,36,530.0,39,572,0,1,"[1-5]","[5-72-1]"
929,1,1,1,1,2,1,14,23758,66,25124,72,6,35,520.0,39,578,0,0,"[1-72]","[72-1]"
929,1,1,2,2,2,1,14,23758,67,25061,9,1,40,595.0,42,623,0,0,"[1-9]","[9-1]"
936,1,1,1,1,3,1,6,23799,138,23257,72,1,31,463.0,36,536,0,0,"[1-72]","[72-1]"
937,1,1,1,1,1,1,199,22271,199,22119,15,1,22,321.0,29,423,0,0,"[1-15]","[15-1]"
945,1,2,1,1,1,1,186,23441,186,23464,72,14,31,461.0,35,518,0,0,"[1-72]","[72-1]"
952,2,1,1,1,1,1,53,24076,67,25058,72,2,25,366.0,26,378,0,0,"[1-72]","[72-1]"
961,2,1,1,1,4,0,21,23875,100,22658,72,4,36,536.0,39,579,0,0,"[1-72]","[72-1]"
964,1,1,1,1,14,0,146,22284,145,22113,5,14,39,585.0,41,613,0,0,"[1-5]","[5-1]"
968,3,1,1,1,4,0,385,23268,200,22386,72,14,28,408.0,34,496,0,0,"[1-72]","[72-1]"
986,1,1,1,1,2,1,52,25439,208,22473,61,2,34,502.0,38,560,0,0,"[1-61]","[61-1]"
986,2,1,1,1,2,1,145,22113,18,22270,72,1,39,577.0,43,635,0,0,"[1-72]","[72-1]"
990,1,1,1,1,2,1,154,21809,202,22115,72,1,36,526.0,39,584,0,0,"[1-72]","[72-1]"
991,2,2,1,1,2,1,155,22106,145,22113,5,1,34,503.0,40,590,0,0,"[1-5]","[5-1]"
