hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
678,1,2,"[ 5 ]",2,1,"[ 2,5 ]",118,22176,134,23208,6,2,4,26,380.0,44,660,0,4,"[0-6]","[6-6-6-8-7-0]"
678,2,2,"[ 4 ]",2,3,"[ 2,4 ]",118,22176,120,22094,7,2,4,59,875.0,65,975,0,0,"[0-7]","[7-0]"
679,1,1,"[ 5,2 ]",3,1,"[ 1,5,2 ]",118,22177,118,22264,9,14,14,65,971.0,75,1116,1,0,"[0-6-9]","[9-0]"
681,1,1,"[ 4 ]",2,3,"[ 1,4 ]",118,22177,92,23756,6,2,4,69,1028.0,77,1143,0,4,"[0-6]","[6-6-6-6-6-0]"
683,1,1,"[ 4 ]",2,3,"[ 1,4 ]",118,22177,196,21863,5,3,4,59,871.0,62,925,1,0,"[0-5-5]","[5-0]"
684,1,1,"[ 4,6,5 ]",4,3,"[ 1,4,6,5 ]",118,22177,207,22179,5,3,4,18,261.0,24,346,0,2,"[0-5]","[5-5-6-0]"
690,1,2,"[ 5 ]",2,3,"[ 2,5 ]",118,22264,206,22363,6,3,4,52,780.0,59,880,1,3,"[0-6-6]","[6-6-6-6-0]"
693,1,3,"[ 4 ]",2,2,"[ 3,4 ]",118,22304,193,22267,5,14,14,58,863.0,67,992,2,1,"[0-5-5-5]","[5-5-0]"
694,1,2,"[ 3,4 ]",3,3,"[ 2,3,4 ]",118,22403,18,22250,5,3,4,61,902.0,66,987,1,0,"[0-7-5]","[5-0]"
697,1,1,"[ 2 ]",2,1,"[ 1,2 ]",119,22326,65,25389,9,2,4,5,73.0,28,413,0,5,"[0-9]","[9-7-7-7-7-5-0]"
710,1,2,"[ 4 ]",2,3,"[ 2,4 ]",119,22426,78,24215,8,2,4,57,853.0,73,1088,0,5,"[0-8]","[8-7-7-7-7-7-0]"
718,1,2,"[ 3 ]",2,3,"[ 2,3 ]",120,22040,194,22474,6,2,4,63,942.0,70,1042,1,1,"[0-6-6]","[6-6-0]"
730,1,2,"[ 4 ]",2,3,"[ 2,4 ]",120,22187,120,22094,9,14,14,61,908.0,65,963,0,0,"[0-9]","[9-0]"
731,1,1,"[ 3,4 ]",3,3,"[ 1,3,4 ]",120,22258,66,25124,7,3,4,62,917.0,74,1107,0,5,"[0-7]","[7-5-5-5-5-5-0]"
731,2,2,"[ 1 ]",2,1,"[ 2,1 ]",120,22258,120,22094,9,3,4,77,1142.0,79,1182,0,0,"[0-9]","[9-0]"
734,1,1,"[ 2 ]",2,1,"[ 1,2 ]",121,21949,387,22093,7,2,4,62,917.0,65,971,0,0,"[0-7]","[7-0]"
740,1,2,"[ 1 ]",2,1,"[ 2,1 ]",121,21949,387,22093,9,3,4,32,466.0,34,506,0,0,"[0-9]","[9-0]"
753,1,5,"[ 6 ]",2,2,"[ 5,6 ]",121,22095,119,22330,9,14,14,4,58.0,10,142,0,0,"[0-9]","[9-0]"
754,1,1,"[ 2 ]",2,1,"[ 1,2 ]",121,22095,119,22540,5,2,4,59,884.0,62,923,1,0,"[0-5-5]","[5-0]"
